Ürün Adı,Tarih,Fiyat
Acer Nitro V 16 ANV16-41-R7AZ Notebook,2025-07-12,90000.0
Acer Nitro V 16 ANV16-41-R7AZ Notebook,2025-07-13,90000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-01-13,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-01-17,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-01-20,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-02-02,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-02-07,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-02-13,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-02-18,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-02-22,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-02-26,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-03-03,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-03-07,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-03-10,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-03-14,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-03-18,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-03-23,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-03-27,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-03-30,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-04-03,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-04-07,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-04-10,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-04-12,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-04-14,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-04-15,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-04-18,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-04-21,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-04-22,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-04-23,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-04-25,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-04-27,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-05-01,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-05-02,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-05-03,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-05-05,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-05-08,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-05-10,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-05-12,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-05-13,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-05-15,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-05-18,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-05-21,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-05-23,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-05-25,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-05-28,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-06-01,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-06-02,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-06-04,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-06-06,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-06-10,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-06-13,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-06-17,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-06-19,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-06-20,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-06-23,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-06-26,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-06-29,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-07-03,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-07-04,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-07-07,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-07-09,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-07-11,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-07-12,100000.0
"Apple MacBook Pro 14.2"" M4 Pro",2025-07-13,100000.0
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-01-13,169900.0
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-01-17,176450.0
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-01-20,183000.0
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-02-02,183967.74193548388
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-02-07,184935.48387096773
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-02-13,185903.2258064516
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-02-18,186870.96774193548
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-02-22,187838.70967741936
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-02-26,188806.4516129032
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-03-03,189774.1935483871
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-03-07,190741.93548387097
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-03-10,191709.67741935485
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-03-14,192677.4193548387
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-03-18,193645.16129032258
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-03-23,194612.90322580645
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-03-27,195580.64516129033
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-03-30,196548.38709677418
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-04-03,197516.12903225806
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-04-07,198483.87096774194
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-04-10,199451.61290322582
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-04-12,200419.35483870967
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-04-14,201387.09677419355
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-04-15,202354.83870967742
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-04-18,203322.5806451613
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-04-21,204290.32258064515
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-04-22,205258.06451612903
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-04-23,206225.8064516129
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-04-25,207193.5483870968
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-04-27,208161.29032258064
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-05-01,209129.03225806452
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-05-02,210096.7741935484
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-05-03,211064.51612903224
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-05-05,212032.25806451612
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-05-08,213000.0
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-05-10,205000.0
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-05-12,197000.0
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-05-13,195666.66666666666
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-05-15,194333.33333333334
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-05-18,193000.0
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-05-21,191666.66666666666
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-05-23,190333.33333333334
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-05-25,189000.0
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-05-28,189125.0
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-06-01,189250.0
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-06-02,189375.0
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-06-04,189500.0
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-06-06,189625.0
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-06-10,189750.0
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-06-13,189875.0
"Apple MacBook Pro 16.2"" M2 Max (12CPU/38GPU) Notebook",2025-06-17,190000.0
